model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,model_encoded,transmission_encoded,fuelType_encoded
 Prius,0.0690321106349149,19495,Automatic,0.30068342289649874,Hybrid,-1.290615046894622,1.982406032402103,0.9772619415021313,10,0,1
 Prius,1.2133975233207501,25000,Automatic,-1.3135842971372502,Hybrid,0.6144593690168073,-0.15055625966153924,0.9772619415021313,10,0,1
 Prius,-0.5031505957080027,17495,Automatic,2.3274072123661838,Hybrid,-1.290615046894622,0.5104857730028134,0.9772619415021313,10,0,1
 Prius,-2.2196987147367557,11495,Automatic,0.4998001460724678,Hybrid,-1.290615046894622,0.8189720549128444,0.9772619415021313,10,0,1
 Prius,1.2133975233207501,22300,Automatic,-0.9352625231029091,Hybrid,0.6144593690168073,0.0962327658664859,0.9772619415021313,10,0,1
 Prius,-0.5031505957080027,18004,Automatic,1.038339769148044,Hybrid,-1.290615046894622,1.982406032402103,0.9772619415021313,10,0,1
 Prius,-4.508429540108426,5750,Automatic,1.4352220663070023,Hybrid,-1.1494984234937755,0.2284411723993563,0.20539741075196916,10,0,1
 Prius,-0.5031505957080027,18690,Automatic,0.17979112668251757,Hybrid,-1.290615046894622,1.982406032402103,0.9772619415021313,10,0,1
 Prius,0.0690321106349149,20495,Automatic,0.4573456161667344,Hybrid,-1.290615046894622,1.982406032402103,0.9772619415021313,10,0,1
 Prius,-0.5031505957080027,17861,Automatic,-0.4282971232738079,Hybrid,-1.290615046894622,1.982406032402103,0.9772619415021313,10,0,1
 Prius,1.2133975233207501,24961,Automatic,-1.282934544391235,Hybrid,0.6144593690168073,-0.027161746897526984,0.9772619415021313,10,0,1
 Prius,-1.0753333020509204,15499,Automatic,0.8208047490782979,Hybrid,-1.290615046894622,0.8189720549128444,0.9772619415021313,10,0,1
 Prius,-4.508429540108426,6850,Automatic,2.6375315087127555,Hybrid,-1.290615046894622,0.6603219670733989,0.9772619415021313,10,0,1
 Prius,0.0690321106349149,18799,Automatic,1.19414860503324,Hybrid,0.6850176807172307,1.982406032402103,0.9772619415021313,10,0,1
 Prius,0.0690321106349149,21450,Automatic,-0.3854870277909746,Hybrid,0.6144593690168073,1.982406032402103,0.9772619415021313,10,0,1
 Prius,-3.9362468337655083,7400,Automatic,1.9362850775562446,Hybrid,-1.290615046894622,0.8189720549128444,0.9772619415021313,10,0,1
 Prius,0.0690321106349149,19995,Automatic,1.082927692516377,Hybrid,-1.290615046894622,0.5104857730028134,0.9772619415021313,10,0,1
 Prius,-1.0753333020509204,14499,Automatic,2.878747196217358,Hybrid,-1.290615046894622,0.8189720549128444,0.9772619415021313,10,0,1
 Prius,0.6412148169778326,21725,Automatic,-1.148388530016616,Hybrid,0.6144593690168073,1.982406032402103,0.9772619415021313,10,0,1
 Prius,-0.5031505957080027,18999,Automatic,0.6283726587518078,Hybrid,-1.290615046894622,1.982406032402103,0.9772619415021313,10,0,1
 Prius,0.0690321106349149,18400,Automatic,1.1681923179049438,Hybrid,0.6850176807172307,1.982406032402103,0.9772619415021313,10,0,1
 Prius,0.0690321106349149,21700,Automatic,0.3437779708410121,Other,0.6144593690168073,0.5104857730028134,0.9772619415021313,10,0,2
 Prius,-1.0753333020509204,21790,Automatic,0.5320855004731428,Other,-1.1494984234937755,0.0962327658664859,0.9772619415021313,10,0,2
 Prius,0.0690321106349149,20990,Automatic,-0.11653722527257639,Hybrid,0.6144593690168073,1.982406032402103,0.9772619415021313,10,0,1
 Prius,0.0690321106349149,21490,Automatic,-0.21467332455216112,Other,0.6850176807172307,0.5104857730028134,0.9772619415021313,10,0,2
 Prius,-1.0753333020509204,21990,Automatic,0.7175485054884739,Other,-1.1494984234937755,0.0962327658664859,0.9772619415021313,10,0,2
 Prius,-0.5031505957080027,17291,Automatic,2.0147939569799123,Hybrid,-1.290615046894622,1.982406032402103,0.9772619415021313,10,0,1
 Prius,-0.5031505957080027,17650,Automatic,1.9574056728359812,Hybrid,-1.290615046894622,1.982406032402103,0.9772619415021313,10,0,1
 Prius,1.2133975233207501,22750,Automatic,-1.0410077257324326,Hybrid,0.6144593690168073,0.0962327658664859,0.9772619415021313,10,0,1
 Prius,0.6412148169778326,22000,Automatic,-0.036961649117608755,Hybrid,0.6144593690168073,1.982406032402103,0.9772619415021313,10,0,1
 Prius,1.2133975233207501,24395,Automatic,-1.18614959430463,Other,0.6850176807172307,-0.15055625966153924,0.9772619415021313,10,0,2
 Prius,-0.5031505957080027,17000,Automatic,1.4238439678398043,Hybrid,-1.290615046894622,1.982406032402103,0.9772619415021313,10,0,1
 Prius,1.2133975233207501,23995,Automatic,-1.1018094394165232,Other,0.6144593690168073,-0.15055625966153924,0.9772619415021313,10,0,2
 Prius,-1.0753333020509204,12000,Automatic,1.5756704692614807,Other,-1.290615046894622,0.8189720549128444,0.9772619415021313,10,0,2
 Prius,-2.2196987147367557,17995,Automatic,2.7080046060939647,Other,-1.1494984234937755,0.0962327658664859,0.9772619415021313,10,0,2
 Prius,-1.0753333020509204,21795,Automatic,0.5140938822718856,Other,-1.1494984234937755,0.0962327658664859,0.9772619415021313,10,0,2
 Prius,0.0690321106349149,19295,Automatic,0.878406372568489,Hybrid,-1.290615046894622,1.982406032402103,0.9772619415021313,10,0,1
 Avensis,-2.7918814210796734,8750,Automatic,1.4239861940706442,Petrol,1.6022757328227337,-1.84282386328228,0.9772619415021313,1,0,3
 Avensis,0.0690321106349149,12498,Manual,0.279705053847602,Petrol,0.7555759924176539,-1.410943068608237,0.9772619415021313,1,1,3
 Avensis,0.0690321106349149,12698,Manual,0.04688071396255821,Petrol,0.7555759924176539,-1.410943068608237,0.9772619415021313,1,1,3
 Avensis,-1.0753333020509204,9998,Manual,-0.10018120872597892,Diesel,-1.0083818000929288,0.36946347270108426,0.46268558766869006,1,1,0
 Avensis,-0.5031505957080027,9295,Manual,2.5408176717415705,Diesel,-1.0083818000929288,0.36946347270108426,0.46268558766869006,1,1,0
 Avensis,0.0690321106349149,11998,Manual,0.4568478243587945,Petrol,0.7555759924176539,-1.410943068608237,0.9772619415021313,1,1,3
 Avensis,-1.0753333020509204,8776,Manual,2.647060666179034,Diesel,-1.0083818000929288,0.36946347270108426,0.46268558766869006,1,1,0
 Avensis,-2.2196987147367557,7498,Manual,2.6104374117377396,Diesel,-0.8672651766920823,-0.027161746897526984,1.4918382953355727,1,1,0
